date,symbol,rank,score,price,ret5,ret10,ret15,vol5
2026-08-19,EXIDEIND,123,5.0568,465.25,-3.74,1.51,9.88,1.5118
2026-08-19,PIDILITIND,124,5.0403,1669.0,-0.95,1.61,3.58,0.8422
2026-08-19,PINELABS,125,4.9595,160.32,-4.33,6.04,4.83,1.3171
2026-08-19,MRPL,126,4.9383,177.44,-2.04,4.6,10.88,2.7205
2026-08-19,TRAVELFOOD,127,4.9323,1358.2,-2.77,1.01,6.41,0.9427
2026-08-19,BHEL,128,4.9106,425.0,5.46,3.17,4.74,2.7229
2026-08-19,JMFINANCIL,129,4.777,127.91,0.55,5.81,2.85,1.9284
2026-08-19,TIINDIA,130,4.6761,2959.0,6.44,7.82,4.73,4.0621
2026-08-19,LGEINDIA,131,4.6137,1667.6,7.05,6.23,9.22,4.8769
2026-08-19,BANKINDIA,132,4.3063,142.1,-0.56,1.18,4.24,1.1291
2026-08-19,CHOLAFIN,133,4.2068,1868.0,-2.42,-0.37,6.56,0.8945
2026-08-19,AEGISLOG,134,4.0386,1367.7,5.4,0.72,7.66,3.4128
2026-08-19,BAJAJHLDNG,135,4.0265,11379.0,-0.8,-1.9,5.26,0.637
2026-08-19,MGL,136,3.9503,1129.1,0.49,1.2,2.83,1.145
2026-08-19,LTF,137,3.9302,325.1,3.08,2.26,4.53,2.5123
2026-08-19,PNB,138,3.8824,116.5,2.17,2.2,4.34,2.244
2026-08-19,AFCONS,139,3.8807,280.25,6.3,-0.48,0.0,1.4989
2026-08-19,CANBK,140,3.8141,129.1,-0.92,0.86,3.91,1.0095
2026-08-19,ELECON,141,3.7963,438.25,0.11,2.32,3.43,1.5466
2026-08-19,ARE&M,142,3.7533,945.7,5.35,1.44,8.2,3.9933
2026-08-19,BAJAJ-AUTO,143,3.7107,11607.0,-0.94,0.06,2.05,0.3153
2026-08-19,MMTC,144,3.6677,63.54,-2.22,-0.17,4.87,0.6761
2026-08-19,BHARTIHEXA,145,3.6604,1641.0,8.89,-0.29,1.65,2.8014
2026-08-19,DEEPAKNTR,146,3.6455,1771.0,-0.77,3.1,7.25,2.6275
2026-08-19,REDINGTON,147,3.6347,332.8,-5.78,-4.33,19.65,2.6261
2026-08-19,PARADEEP,148,3.626,147.82,-2.62,1.99,6.18,1.5306
2026-08-19,AMBER,149,3.5579,7350.0,3.84,-0.61,1.96,1.4567
2026-08-19,AUBANK,150,3.54,1075.7,0.45,1.58,2.67,1.327
2026-08-19,BALRAMCHIN,151,3.4666,653.25,4.05,-0.83,7.93,3.2185
2026-08-19,SUNDARMFIN,152,3.3957,4619.6,3.87,-3.34,4.47,1.4715
2026-08-19,SBIN,153,3.3274,1053.0,-1.22,0.99,3.93,1.1109
2026-08-19,ASTRAL,154,3.297,1520.0,6.67,4.97,3.3,4.5342
2026-08-19,ACUTAAS,155,3.2405,3391.4,4.48,5.18,2.84,3.8585
2026-08-19,NATIONALUM,156,3.2361,388.0,0.0,2.92,15.98,5.8386
2026-08-19,COFORGE,157,3.1499,1773.0,-2.53,1.32,5.16,1.2545
2026-08-19,ETERNAL,158,3.0973,315.9,-0.66,1.12,2.45,0.9391
2026-08-19,IKS,159,3.0874,1830.2,5.87,-0.88,0.07,1.6368
2026-08-19,OBEROIRLTY,160,3.0597,1858.0,3.59,4.45,1.56,3.1378
2026-08-19,GPIL,161,2.9111,250.82,5.76,2.64,5.5,4.7752
2026-08-19,DIXON,162,2.8912,14150.0,0.91,1.16,1.78,1.3283
2026-08-19,VBL,163,2.8331,439.3,0.53,0.07,2.16,0.9733
2026-08-19,M&M,164,2.8087,3421.5,-1.12,-0.33,4.59,1.1194
2026-08-19,HONASA,165,2.7978,474.6,1.56,3.31,4.98,3.5197
2026-08-19,ABSLAMC,166,2.6998,1019.0,0.71,0.12,3.01,1.4231
2026-08-19,WAAREEENER,167,2.4697,2709.1,0.19,1.46,0.55,0.8917
2026-08-19,CHALET,168,2.3273,844.7,0.91,2.82,-0.21,1.5122
2026-08-19,KAYNES,169,2.3138,3644.1,-1.98,-5.96,12.9,2.1447
2026-08-19,MAHABANK,170,2.3024,80.49,1.95,2.64,0.36,2.1508
2026-08-19,APOLLOTYRE,171,2.2889,436.7,-2.07,0.02,3.99,0.8464
2026-08-19,PCBL,172,2.2469,326.55,1.37,1.24,2.56,2.2989
2026-08-19,SCI,173,2.2123,295.75,0.61,-1.71,6.04,2.2341
2026-08-19,IGIL,174,2.2095,349.7,0.72,-3.42,6.37,1.6602
2026-08-19,ICICIAMC,175,2.1763,3136.0,2.68,1.19,-0.25,1.6623
2026-08-19,CARBORUNIV,176,2.1413,1122.7,0.15,2.48,4.62,3.3889
2026-08-19,SARDAEN,177,1.8816,521.15,4.13,0.96,1.73,3.6205
2026-08-19,JINDALSTEL,178,1.8543,1101.5,0.59,-2.0,4.47,1.6496
2026-08-19,ACMESOLAR,179,1.7376,371.75,0.9,-2.59,4.57,1.6532
2026-08-19,AXISBANK,180,1.4496,1243.0,1.07,-1.49,1.59,0.8121
2026-08-19,ECLERX,181,1.4349,1848.9,4.85,-3.81,2.05,2.1566
2026-08-19,JSL,182,1.3462,732.4,1.01,-0.44,1.12,1.2504
2026-08-19,FORCEMOT,183,1.1944,18200.0,-0.71,-0.97,5.83,3.4783
2026-08-19,LICI,184,1.1468,410.0,0.99,4.78,-4.01,1.5253
2026-08-19,HOMEFIRST,185,1.0675,1179.9,-0.14,0.83,-0.22,0.4358
2026-08-19,OLAELEC,186,1.0141,38.61,-2.65,0.1,4.04,1.4774
2026-08-19,CANHLIFE,187,0.861,148.9,-0.33,-1.34,2.68,1.1801
2026-08-19,CUB,188,0.8044,215.2,-0.56,5.16,-2.82,2.1994
2026-08-19,CEMPRO,189,0.8006,1324.0,3.88,-0.44,-1.25,2.7312
2026-08-19,KFINTECH,190,0.7982,957.6,2.42,0.91,-1.66,2.0923
2026-08-19,CYIENT,191,0.7729,858.55,0.6,-1.04,2.45,2.604
2026-08-19,BRITANNIA,192,0.7472,5521.0,-1.82,-0.18,2.54,0.7114
2026-08-19,TENNIND,193,0.7079,548.45,-1.08,0.71,1.48,1.5611
2026-08-19,SONATSOFTW,194,0.6908,320.4,0.09,-7.36,9.22,2.8316
2026-08-19,BANKBARODA,195,0.5484,244.0,-0.89,-0.41,2.01,1.2856
2026-08-19,BSOFT,196,0.4798,310.8,-2.03,-3.33,5.91,1.1486
2026-08-19,CONCOR,197,0.4654,518.25,1.22,0.63,-0.79,2.2719
2026-08-19,BHARTIARTL,198,0.4628,1934.2,0.99,-1.82,1.7,1.8872
2026-08-19,GMDCLTD,199,0.4006,570.7,-5.36,2.64,3.05,0.8461
2026-08-19,GROWW,200,0.3929,193.81,0.16,1.3,-0.76,1.7652
2026-08-19,AWL,201,0.3063,190.04,-1.46,-0.29,2.08,1.0708
2026-08-19,KALYANKJIL,202,0.306,601.6,-0.1,1.72,-1.11,1.6845
2026-08-19,NTPCGREEN,203,0.2966,92.14,0.28,1.59,-1.65,0.729
2026-08-19,PIRAMALFIN,204,0.279,2066.1,-1.65,0.89,1.04,1.0332
2026-08-19,CHOLAHLDNG,205,0.2534,1576.4,-2.82,0.11,3.27,2.2332
2026-08-19,OFSS,206,0.1927,11623.0,-2.29,0.2,2.55,2.352
2026-08-19,SPLPETRO,207,0.1379,723.45,4.28,1.05,-4.92,3.0018
